"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\configs\database.config.ts", "TypeScript", -2, 0, 0, -2
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\configs\passport.config.ts", "TypeScript", 2, 0, 0, 2
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\controllers\comment.controller.ts", "TypeScript", 1, 3, 1, 5
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\controllers\group.controller.ts", "TypeScript", 13, 1, 1, 15
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\controllers\post.controller.ts", "TypeScript", 7, 0, 1, 8
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\controllers\user.controller.ts", "TypeScript", 21, -1, 3, 23
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\enums\user.enum.ts", "TypeScript", 6, 0, 1, 7
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\error\ApiErrorCodes.ts", "TypeScript", 51, 2, 14, 67
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\error\InvalidIdError.ts", "TypeScript", -16, -4, -4, -24
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\error\NotEmptyError.ts", "TypeScript", 0, -11, -2, -13
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\helpers\sanitation.ts", "TypeScript", 17, 4, 2, 23
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\helpers\validation.ts", "TypeScript", 6, -30, -5, -29
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\middlewares\auth.middleware.ts", "TypeScript", 5, 0, 1, 6
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\middlewares\group.middleware.ts", "TypeScript", 18, 0, 2, 20
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\middlewares\post.middleware.ts", "TypeScript", 17, 0, 3, 20
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\middlewares\user.middleware.ts", "TypeScript", 3, 0, 0, 3
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\repositories\friendRequest.repository.ts", "TypeScript", 4, 0, 0, 4
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\repositories\group.repository.ts", "TypeScript", -8, 0, -1, -9
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\repositories\groupJoinRequest.repository.ts", "TypeScript", 5, 0, 0, 5
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\repositories\post.repository.ts", "TypeScript", -8, 2, -1, -7
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\repositories\reaction.repository.ts", "TypeScript", 6, 2, 0, 8
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\repositories\user.repository.ts", "TypeScript", 34, -5, 1, 30
"c:\Serious Project\Full Stack Development\social-media\group-backend-project\src\routes\group.routes.ts", "TypeScript", 9, 1, 3, 13
